Date,Confirmed Cases,Date,Confirmed Deaths,Date,Prob and Suspected Cases,Date,Prob and Suspected Deaths,Date,Probable Cases,Date,Probable Deaths,Date,Suspected Cases
2014-12-01,1921.0,2014-12-01,1102.0,2014-12-01,2155.0,2014-12-01,1312.0,2014-12-01,210.0,2014-12-01,210.0,2014-12-01,24.0
2014-11-26,1850.0,2014-11-26,1050.0,2014-11-26,2134.0,2014-11-26,1260.0,2014-11-26,210.0,2014-11-26,210.0,2014-11-26,74.0
2014-11-21,1745.0,2014-11-21,998.0,2014-11-21,2047.0,2014-11-21,1214.0,2014-11-21,216.0,2014-11-21,216.0,2014-11-21,86.0
2014-11-19,1698.0,2014-11-19,982.0,2014-11-19,1971.0,2014-11-19,1192.0,2014-11-19,210.0,2014-11-19,210.0,2014-11-19,63.0
2014-11-14,1647.0,2014-11-14,958.0,2014-11-14,1919.0,2014-11-14,1166.0,2014-11-14,208.0,2014-11-14,208.0,2014-11-14,64.0
2014-11-12,1612.0,2014-11-12,934.0,2014-11-12,1878.0,2014-11-12,1142.0,2014-11-12,208.0,2014-11-12,208.0,2014-11-12,58.0
2014-11-07,1479.0,2014-11-07,850.0,2014-11-07,1760.0,2014-11-07,1054.0,2014-11-07,204.0,2014-11-07,204.0,2014-11-07,77.0
2014-11-05,1457.0,2014-11-05,837.0,2014-11-05,1731.0,2014-11-05,1041.0,2014-11-05,204.0,2014-11-05,204.0,2014-11-05,70.0
2014-10-25,1312.0,2014-10-25,732.0,2014-10-25,1553.0,2014-10-25,926.0,2014-10-25,194.0,2014-10-25,194.0,2014-10-25,47.0
2014-10-22,1289.0,2014-10-22,710.0,2014-10-22,1540.0,2014-10-22,904.0,2014-10-22,193.0,2014-10-22,193.0,2014-10-22,58.0
2014-10-17,1217.0,2014-10-17,671.0,2014-10-17,1519.0,2014-10-17,862.0,2014-10-17,191.0,2014-10-17,191.0,2014-10-17,111.0
2014-10-15,1184.0,2014-10-15,653.0,2014-10-15,1472.0,2014-10-15,843.0,2014-10-15,190.0,2014-10-15,190.0,2014-10-15,98.0
2014-10-10,1097.0,2014-10-10,598.0,2014-10-10,1350.0,2014-10-10,778.0,2014-10-10,180.0,2014-10-10,180.0,2014-10-10,73.0
2014-10-08,1044.0,2014-10-08,587.0,2014-10-08,1298.0,2014-10-08,768.0,2014-10-08,180.0,2014-10-08,179.0,2014-10-08,74.0
2014-10-03,977.0,2014-10-03,562.0,2014-10-03,1199.0,2014-10-03,739.0,2014-10-03,177.0,2014-10-03,177.0,2014-10-03,45.0
2014-10-01,950.0,2014-10-01,535.0,2014-10-01,1157.0,2014-10-01,710.0,2014-10-01,170.0,2014-10-01,170.0,2014-10-01,37.0
